regime,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,num_seeds,num_problems,solved_rate_mean,solved_rate_std,exec_rate_mean,exec_rate_std,avg_plan_len_mean,avg_plan_len_std
domain_dependent,wl,lstm,state,blocks,validation,172,domain_specific,3,3,0.4444444444444444,0.15713484026367722,1.0,0.0,62.88888888888889,9.878271453730164
domain_dependent,wl,lstm,state,blocks,test-interpolation,172,domain_specific,3,3,1.0,0.0,1.0,0.0,29.555555555555557,11.85509214964368
domain_dependent,wl,lstm,state,blocks,test-extrapolation,172,domain_specific,3,20,0.08333333333333334,0.023570226039551587,1.0,0.0,120.6,1.7204650534085206
domain_dependent,wl,lstm,state,gripper,validation,302,domain_specific,3,2,1.0,0.0,1.0,0.0,30.666666666666668,1.699673171197595
domain_dependent,wl,lstm,state,gripper,test-interpolation,302,domain_specific,3,3,1.0,0.0,1.0,0.0,17.88888888888889,2.199887763691482
domain_dependent,wl,lstm,state,gripper,test-extrapolation,302,domain_specific,3,16,0.5416666666666666,0.3280836614171588,1.0,0.0,163.91666666666666,79.65443486118997
domain_dependent,wl,lstm,state,logistics,validation,552,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,wl,lstm,state,logistics,test-interpolation,552,domain_specific,3,9,0.48148148148148145,0.37770514915502107,1.0,0.0,91.88888888888889,32.0144000521576
domain_dependent,wl,lstm,state,logistics,test-extrapolation,552,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,wl,lstm,state,visitall-from-everywhere,validation,138,domain_specific,3,24,0.75,0.14829275350043492,1.0,0.0,35.27777777777778,15.133294073207356
domain_dependent,wl,lstm,state,visitall-from-everywhere,test-interpolation,138,domain_specific,3,37,1.0,0.0,1.0,0.0,9.72072072072072,0.7510509910150027
domain_dependent,wl,lstm,state,visitall-from-everywhere,test-extrapolation,138,domain_specific,3,219,0.4170471841704718,0.3738967393374553,1.0,0.0,273.5905631659056,118.49905372563839
domain_dependent,wl,lstm,delta,blocks,validation,172,domain_specific,3,3,0.4444444444444444,0.15713484026367722,1.0,0.0,72.22222222222223,1.1331154474650602
domain_dependent,wl,lstm,delta,blocks,test-interpolation,172,domain_specific,3,3,1.0,0.0,1.0,0.0,14.666666666666666,0.5443310539518176
domain_dependent,wl,lstm,delta,blocks,test-extrapolation,172,domain_specific,3,20,0.26666666666666666,0.14337208778404378,1.0,0.0,102.86666666666666,8.54959388249264
domain_dependent,wl,lstm,delta,gripper,validation,302,domain_specific,3,2,0.0,0.0,1.0,0.0,135.0,0.0
domain_dependent,wl,lstm,delta,gripper,test-interpolation,302,domain_specific,3,3,0.4444444444444444,0.15713484026367722,1.0,0.0,80.0,1.1863420280034822
domain_dependent,wl,lstm,delta,gripper,test-extrapolation,302,domain_specific,3,16,0.0,0.0,1.0,0.0,286.8333333333333,26.332278459884343
domain_dependent,wl,lstm,delta,logistics,validation,552,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,wl,lstm,delta,logistics,test-interpolation,552,domain_specific,3,9,0.3333333333333333,0.0,1.0,0.0,99.4074074074074,0.8811390558052048
domain_dependent,wl,lstm,delta,logistics,test-extrapolation,552,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,wl,lstm,delta,visitall-from-everywhere,validation,138,domain_specific,3,24,0.9722222222222222,0.039283710065919325,1.0,0.0,21.375,0.1360827634879553
domain_dependent,wl,lstm,delta,visitall-from-everywhere,test-interpolation,138,domain_specific,3,37,1.0,0.0,1.0,0.0,8.621621621621621,0.21281102362194118
domain_dependent,wl,lstm,delta,visitall-from-everywhere,test-extrapolation,138,domain_specific,3,219,0.9467275494672754,0.010762660292032713,1.0,0.0,78.5433789954338,0.42004168855068935
domain_dependent,wl,xgboost,state,blocks,validation,172,domain_specific,3,3,1.0,0.0,1.0,0.0,19.333333333333332,0.0
domain_dependent,wl,xgboost,state,blocks,test-interpolation,172,domain_specific,3,3,1.0,0.0,1.0,0.0,12.666666666666666,0.0
domain_dependent,wl,xgboost,state,blocks,test-extrapolation,172,domain_specific,3,20,0.2,0.0,1.0,0.0,114.8,0.0
domain_dependent,wl,xgboost,state,gripper,validation,302,domain_specific,3,2,0.0,0.0,1.0,0.0,124.5,0.0
domain_dependent,wl,xgboost,state,gripper,test-interpolation,302,domain_specific,3,3,0.6666666666666666,0.0,1.0,0.0,45.0,0.0
domain_dependent,wl,xgboost,state,gripper,test-extrapolation,302,domain_specific,3,16,0.0,0.0,1.0,0.0,310.0,0.0
domain_dependent,wl,xgboost,state,logistics,validation,552,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,wl,xgboost,state,logistics,test-interpolation,552,domain_specific,3,9,0.1111111111111111,0.0,1.0,0.0,121.44444444444444,0.0
domain_dependent,wl,xgboost,state,logistics,test-extrapolation,552,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,wl,xgboost,state,visitall-from-everywhere,validation,138,domain_specific,3,24,1.0,0.0,1.0,0.0,19.125,0.0
domain_dependent,wl,xgboost,state,visitall-from-everywhere,test-interpolation,138,domain_specific,3,37,1.0,0.0,1.0,0.0,8.81081081081081,0.0
