family,regime,model,mode,domain,split,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,wl,simhash,3,0.4444444444444444,0.0,-0.4444444444444444,-0.6666666666666666,0.0,2,0,0.5019749012549373,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,wl,simhash,3,1.0,0.1111111111111111,-0.888888888888889,-1.0,-0.6666666666666666,3,0,0.2501374931253437,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,wl,simhash,20,0.08333333333333333,0.0,-0.08333333333333333,-0.15,-0.03333333333333333,5,0,0.061246937653117346,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,wl,simhash,2,1.0,0.0,-1.0,-1.0,-1.0,2,0,0.49732513374331283,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,wl,simhash,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,wl,simhash,16,0.5416666666666666,0.5,-0.04166666666666663,-0.2708333333333333,0.20833333333333337,8,5,0.8746062696865157,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,wl,simhash,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,wl,simhash,9,0.48148148148148145,0.2592592592592593,-0.2222222222222222,-0.3703703703703704,-0.037037037037037014,6,1,0.10939453027348632,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-extrapolation,wl,simhash,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,wl,simhash,24,0.75,0.8194444444444443,0.06944444444444446,-0.06944444444444443,0.20833333333333334,4,8,0.3408329583520824,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,wl,simhash,37,1.0,0.954954954954955,-0.04504504504504505,-0.11711711711711713,0.0,2,0,0.5060746962651868,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,wl,simhash,219,0.4170471841704718,0.3302891933028919,-0.08675799086757988,-0.13850837138508368,-0.036529680365296774,126,56,0.0015499225038748063,Paired sign-flip on per-problem seed-mean solved outcomes,0.15654217289135544,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,wl,shortest_path,3,0.4444444444444444,0.0,-0.4444444444444444,-0.6666666666666666,0.0,2,0,0.49962501874906257,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,wl,shortest_path,3,1.0,0.0,-1.0,-1.0,-1.0,3,0,0.2504874756262187,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,wl,shortest_path,20,0.08333333333333333,0.0,-0.08333333333333333,-0.15,-0.03333333333333333,5,0,0.06039698015099245,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,wl,shortest_path,2,1.0,0.0,-1.0,-1.0,-1.0,2,0,0.4945752712364382,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,wl,shortest_path,3,1.0,0.7777777777777778,-0.22222222222222224,-0.6666666666666666,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,wl,shortest_path,16,0.5416666666666666,0.0,-0.5416666666666666,-0.6875,-0.41666666666666663,16,0,9.99950002499875e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.011099445027748612,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,wl,shortest_path,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,wl,shortest_path,9,0.48148148148148145,0.2222222222222222,-0.25925925925925924,-0.4074074074074074,-0.07407407407407406,7,1,0.060296985150742465,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-extrapolation,wl,shortest_path,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,wl,shortest_path,24,0.75,1.0,0.25,0.1527777777777778,0.36111111111111116,0,13,0.000199990000499975,Paired sign-flip on per-problem seed-mean solved outcomes,0.021998900054997248,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,wl,shortest_path,37,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,wl,shortest_path,219,0.4170471841704718,1.0,0.5829528158295283,0.5540334855403349,0.6118721461187218,0,204,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,wl,graphbpe,3,0.4444444444444444,0.0,-0.4444444444444444,-0.6666666666666666,0.0,2,0,0.5028748562571871,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,wl,graphbpe,3,1.0,0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,3,0,0.2488875556222189,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,wl,graphbpe,20,0.08333333333333333,0.0,-0.08333333333333333,-0.15,-0.016666666666666666,5,0,0.06329683515824208,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,wl,graphbpe,2,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,wl,graphbpe,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,wl,graphbpe,16,0.5416666666666666,1.0,0.45833333333333337,0.3125,0.5833333333333334,0,12,0.0004999750012499375,Paired sign-flip on per-problem seed-mean solved outcomes,0.052997350132493376,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,wl,graphbpe,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,wl,graphbpe,9,0.48148148148148145,0.1111111111111111,-0.3703703703703704,-0.48148148148148145,-0.25925925925925924,8,0,0.007249637518124094,Paired sign-flip on per-problem seed-mean solved outcomes,0.7032148392580371,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-extrapolation,wl,graphbpe,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,wl,graphbpe,24,0.75,0.5416666666666666,-0.20833333333333334,-0.40277777777777773,-0.013888888888888867,11,6,0.07394630268486575,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,wl,graphbpe,37,1.0,0.7567567567567568,-0.24324324324324326,-0.3783783783783784,-0.10810810810810811,9,0,0.004249787510624469,Paired sign-flip on per-problem seed-mean solved outcomes,0.4207289635518224,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,wl,graphbpe,219,0.4170471841704718,0.0958904109589041,-0.3211567732115677,-0.35768645357686446,-0.2846270928462709,185,13,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,wl,random,3,0.4444444444444444,0.0,-0.4444444444444444,-0.6666666666666666,0.0,2,0,0.5027248637568121,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
