family,regime,model,mode,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,wl,simhash,358,0.4757914338919925,0.39385474860335196,-0.08193668528864058,-0.1201117318435754,-0.04469273743016757,158,70,0.00014999250037498125,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,wl,shortest_path,358,0.4757914338919925,0.7942271880819366,0.3184357541899442,0.2746741154562384,0.3612662942271882,36,218,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,wl,graphbpe,358,0.4757914338919925,0.23743016759776536,-0.2383612662942272,-0.2746741154562383,-0.20204841713221597,223,31,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,wl,random,358,0.4757914338919925,0.17597765363128492,-0.2998137802607076,-0.33054003724394787,-0.2690875232774674,246,13,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,simhash,shortest_path,358,0.39385474860335196,0.7942271880819366,0.40037243947858475,0.3472765363128491,0.45437616387337065,12,172,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,simhash,graphbpe,358,0.39385474860335196,0.23743016759776536,-0.15642458100558657,-0.2011173184357542,-0.11266294227188081,87,15,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,simhash,random,358,0.39385474860335196,0.17597765363128492,-0.21787709497206703,-0.260707635009311,-0.1750465549348231,109,11,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,shortest_path,graphbpe,358,0.7942271880819366,0.23743016759776536,-0.5567970204841712,-0.61731843575419,-0.49348230912476726,219,22,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,shortest_path,random,358,0.7942271880819366,0.17597765363128492,-0.6182495344506518,-0.6694599627560522,-0.5633147113594041,239,10,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,graphbpe,random,358,0.23743016759776536,0.17597765363128492,-0.061452513966480445,-0.09590316573556798,-0.028864059590316574,39,22,0.0004999750012499375,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::lstm::state
