family,tokenizer,model,mode,domain,split,regime_a,regime_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
regime::wl::lstm::state,wl,lstm,state,blocks,validation,domain_dependent,all_domains,3,0.4444444444444444,0.1111111111111111,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,2,1,0.5005749712514375,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,blocks,test-interpolation,domain_dependent,all_domains,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,blocks,test-extrapolation,domain_dependent,all_domains,20,0.08333333333333333,0.15,0.06666666666666667,-0.03333333333333334,0.18333333333333332,3,6,0.3960301984900755,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,gripper,validation,domain_dependent,all_domains,2,1.0,0.3333333333333333,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,2,0,0.49947502624868756,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,gripper,test-interpolation,domain_dependent,all_domains,3,1.0,0.7777777777777777,-0.22222222222222224,-0.3333333333333333,0.0,2,0,0.5005249737513124,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,gripper,test-extrapolation,domain_dependent,all_domains,16,0.5416666666666666,0.041666666666666664,-0.49999999999999994,-0.625,-0.3958333333333333,16,0,0.000199990000499975,Paired sign-flip on per-problem seed-mean solved outcomes,0.002199890005499725,True,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,logistics,validation,domain_dependent,all_domains,4,0.0,0.08333333333333333,0.08333333333333333,0.0,0.25,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,logistics,test-interpolation,domain_dependent,all_domains,9,0.48148148148148145,0.6666666666666666,0.18518518518518517,0.07407407407407408,0.29629629629629634,0,5,0.0616469176541173,Paired sign-flip on per-problem seed-mean solved outcomes,0.5548222588870557,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,visitall-from-everywhere,validation,domain_dependent,all_domains,24,0.75,1.0,0.25,0.1527777777777778,0.36111111111111116,0,13,0.00039998000099995,Paired sign-flip on per-problem seed-mean solved outcomes,0.0039998000099995,True,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::state
regime::wl::lstm::state,wl,lstm,state,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,0.4170471841704718,0.8660578386605782,0.4490106544901066,0.41856925418569263,0.47792998477929993,0,200,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.000599970001499925,True,regime::wl::lstm::state
regime::wl::lstm::delta,wl,lstm,delta,blocks,validation,domain_dependent,all_domains,3,0.4444444444444444,0.3333333333333333,-0.11111111111111112,-0.3333333333333333,0.3333333333333333,2,1,0.7526623668816559,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,blocks,test-interpolation,domain_dependent,all_domains,3,1.0,0.8888888888888888,-0.11111111111111112,-0.3333333333333333,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,blocks,test-extrapolation,domain_dependent,all_domains,20,0.26666666666666666,0.06666666666666667,-0.2,-0.3,-0.1,10,0,0.002449877506124694,Paired sign-flip on per-problem seed-mean solved outcomes,0.026948652567371632,True,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,gripper,validation,domain_dependent,all_domains,2,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,2,0.496025198740063,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,gripper,test-interpolation,domain_dependent,all_domains,3,0.4444444444444444,0.7777777777777777,0.3333333333333333,0.0,0.6666666666666666,0,2,0.4953752312384381,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,gripper,test-extrapolation,domain_dependent,all_domains,16,0.0,0.2708333333333333,0.2708333333333333,0.20833333333333331,0.3333333333333333,0,13,0.00014999250037498125,Paired sign-flip on per-problem seed-mean solved outcomes,0.001799910004499775,True,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,logistics,validation,domain_dependent,all_domains,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,logistics,test-interpolation,domain_dependent,all_domains,9,0.3333333333333333,0.18518518518518517,-0.14814814814814817,-0.5185185185185186,0.2222222222222222,3,3,0.46852657367131645,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,visitall-from-everywhere,validation,domain_dependent,all_domains,24,0.9722222222222222,1.0,0.02777777777777778,0.0,0.06944444444444445,0,2,0.5014249287535624,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::lstm::delta
regime::wl::lstm::delta,wl,lstm,delta,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,0.9467275494672754,0.969558599695586,0.0228310502283105,0.0030441400304414006,0.04414003044140031,11,22,0.03799810009499525,Paired sign-flip on per-problem seed-mean solved outcomes,0.37998100094995246,False,regime::wl::lstm::delta
regime::wl::xgboost::state,wl,xgboost,state,blocks,validation,domain_dependent,all_domains,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,blocks,test-interpolation,domain_dependent,all_domains,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,blocks,test-extrapolation,domain_dependent,all_domains,20,0.2,0.3,0.1,-0.15,0.35,2,4,0.6854657267136643,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,gripper,validation,domain_dependent,all_domains,2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,gripper,test-interpolation,domain_dependent,all_domains,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-1.0,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,gripper,test-extrapolation,domain_dependent,all_domains,16,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,logistics,validation,domain_dependent,all_domains,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,logistics,test-interpolation,domain_dependent,all_domains,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,visitall-from-everywhere,validation,domain_dependent,all_domains,24,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,0.1963470319634703,0.2146118721461187,0.0182648401826484,0.0,0.0410958904109589,1,5,0.2190390480475976,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
