regime,seed,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,result_file,num_problems,solved_rate,exec_rate,avg_plan_len
domain_dependent,13,wl,lstm,state,blocks,validation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\blocks_graphs_validation_state_results.json,3,0.3333333333333333,1.0,50.0
domain_dependent,13,wl,lstm,state,blocks,test-interpolation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\blocks_graphs_test-interpolation_state_results.json,3,1.0,1.0,13.333333333333334
domain_dependent,13,wl,lstm,state,blocks,test-extrapolation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\blocks_graphs_test-extrapolation_state_results.json,20,0.1,1.0,118.4
domain_dependent,13,wl,lstm,state,gripper,validation,302,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\gripper_graphs_validation_state_results.json,2,1.0,1.0,29.0
domain_dependent,13,wl,lstm,state,gripper,test-interpolation,302,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\gripper_graphs_test-interpolation_state_results.json,3,1.0,1.0,16.333333333333332
domain_dependent,13,wl,lstm,state,gripper,test-extrapolation,302,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\gripper_graphs_test-extrapolation_state_results.json,16,0.25,1.0,276.5625
domain_dependent,13,wl,lstm,state,logistics,validation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\logistics_graphs_validation_state_results.json,4,0.0,1.0,150.0
domain_dependent,13,wl,lstm,state,logistics,test-interpolation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\logistics_graphs_test-interpolation_state_results.json,9,1.0,1.0,50.111111111111114
domain_dependent,13,wl,lstm,state,logistics,test-extrapolation,552,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\logistics_graphs_test-extrapolation_state_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,wl,lstm,state,visitall-from-everywhere,validation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\visitall-from-everywhere_graphs_validation_state_results.json,24,0.6666666666666666,1.0,29.708333333333332
domain_dependent,13,wl,lstm,state,visitall-from-everywhere,test-interpolation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\visitall-from-everywhere_graphs_test-interpolation_state_results.json,37,1.0,1.0,9.405405405405405
domain_dependent,13,wl,lstm,state,visitall-from-everywhere,test-extrapolation,138,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_state\visitall-from-everywhere_graphs_test-extrapolation_state_results.json,219,0.2191780821917808,1.0,342.6849315068493
domain_dependent,13,wl,lstm,delta,blocks,validation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_delta\blocks_graphs_validation_delta_results.json,3,0.6666666666666666,1.0,70.66666666666667
domain_dependent,13,wl,lstm,delta,blocks,test-interpolation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_delta\blocks_graphs_test-interpolation_delta_results.json,3,1.0,1.0,14.666666666666666
domain_dependent,13,wl,lstm,delta,blocks,test-extrapolation,172,domain_specific,outputs\domain_dependent\results\seed_13\wl\lstm_delta\blocks_graphs_test-extrapolation_delta_results.json,20,0.1,1.0,113.7
