Regime,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Num Seeds,Val Solved Mean,Val Solved Std,Val Exec Mean,Val Exec Std,Val Avg Plan Len Mean,Val Avg Plan Len Std,Interp Solved Mean,Interp Solved Std,Interp Exec Mean,Interp Exec Std,Interp Avg Plan Len Mean,Interp Avg Plan Len Std,Extrap Solved Mean,Extrap Solved Std,Extrap Exec Mean,Extrap Exec Std,Extrap Avg Plan Len Mean,Extrap Avg Plan Len Std
domain_dependent,blocks,wl,lstm,state,172,domain_specific,3,44.44%,15.71%,100.00%,0.00%,62.89,9.88,100.00%,0.00%,100.00%,0.00%,29.56,11.86,8.33%,2.36%,100.00%,0.00%,120.60,1.72
domain_dependent,gripper,wl,lstm,state,302,domain_specific,3,100.00%,0.00%,100.00%,0.00%,30.67,1.70,100.00%,0.00%,100.00%,0.00%,17.89,2.20,54.17%,32.81%,100.00%,0.00%,163.92,79.65
domain_dependent,logistics,wl,lstm,state,552,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,48.15%,37.77%,100.00%,0.00%,91.89,32.01,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,wl,lstm,state,138,domain_specific,3,75.00%,14.83%,100.00%,0.00%,35.28,15.13,100.00%,0.00%,100.00%,0.00%,9.72,0.75,41.70%,37.39%,100.00%,0.00%,273.59,118.50
domain_dependent,blocks,wl,lstm,delta,172,domain_specific,3,44.44%,15.71%,100.00%,0.00%,72.22,1.13,100.00%,0.00%,100.00%,0.00%,14.67,0.54,26.67%,14.34%,100.00%,0.00%,102.87,8.55
domain_dependent,gripper,wl,lstm,delta,302,domain_specific,3,0.00%,0.00%,100.00%,0.00%,135.00,0.00,44.44%,15.71%,100.00%,0.00%,80.00,1.19,0.00%,0.00%,100.00%,0.00%,286.83,26.33
domain_dependent,logistics,wl,lstm,delta,552,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,33.33%,0.00%,100.00%,0.00%,99.41,0.88,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,wl,lstm,delta,138,domain_specific,3,97.22%,3.93%,100.00%,0.00%,21.38,0.14,100.00%,0.00%,100.00%,0.00%,8.62,0.21,94.67%,1.08%,100.00%,0.00%,78.54,0.42
domain_dependent,blocks,wl,xgboost,state,172,domain_specific,3,100.00%,0.00%,100.00%,0.00%,19.33,0.00,100.00%,0.00%,100.00%,0.00%,12.67,0.00,20.00%,0.00%,100.00%,0.00%,114.80,0.00
domain_dependent,gripper,wl,xgboost,state,302,domain_specific,3,0.00%,0.00%,100.00%,0.00%,124.50,0.00,66.67%,0.00%,100.00%,0.00%,45.00,0.00,0.00%,0.00%,100.00%,0.00%,310.00,0.00
domain_dependent,logistics,wl,xgboost,state,552,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,11.11%,0.00%,100.00%,0.00%,121.44,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
