baseline,domain,split,problem,status,returncode,timeout_sec,solved,nodes_expanded,plan_len,search_time_sec
astar:lmcut,blocks,test-extrapolation,probBLOCKS-10-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-10-1.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-10-2.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-11-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-11-1.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-11-2.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-12-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-12-1.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-13-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-13-1.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-14-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-14-1.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-15-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-15-1.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-16-1.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-16-2.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-17-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-9-0.pddl,timeout,,20,False,,,
astar:lmcut,blocks,test-extrapolation,probBLOCKS-9-1.pddl,solved,0,20,True,355,28,8.7
astar:lmcut,blocks,test-extrapolation,probBLOCKS-9-2.pddl,solved,0,20,True,616,26,1.5
astar:lmcut,blocks,test-interpolation,probBLOCKS-5-0.pddl,solved,0,20,True,19,12,0.047
astar:lmcut,blocks,test-interpolation,probBLOCKS-5-1.pddl,solved,0,20,True,18,10,0.062
astar:lmcut,blocks,test-interpolation,probBLOCKS-5-2.pddl,solved,0,20,True,42,16,0.12
astar:lmcut,gripper,test-extrapolation,prob05.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob06.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob07.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob08.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob09.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob10.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob11.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob12.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob13.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob14.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob15.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob16.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob17.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob18.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob19.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-extrapolation,prob20.pddl,timeout,,20,False,,,
astar:lmcut,gripper,test-interpolation,balls03.pddl,solved,0,20,True,48,9,0.062
astar:lmcut,gripper,test-interpolation,balls05.pddl,solved,0,20,True,606,15,1.5
astar:lmcut,gripper,test-interpolation,balls07.pddl,solved,0,20,True,4531,21,1.9
astar:lmcut,logistics,test-extrapolation,probLOGISTICS-10-0.pddl,timeout,,20,False,,,
astar:lmcut,logistics,test-extrapolation,probLOGISTICS-10-1.pddl,timeout,,20,False,,,
astar:lmcut,logistics,test-extrapolation,probLOGISTICS-11-0.pddl,timeout,,20,False,,,
astar:lmcut,logistics,test-extrapolation,probLOGISTICS-11-1.pddl,timeout,,20,False,,,
astar:lmcut,logistics,test-extrapolation,probLOGISTICS-12-0.pddl,timeout,,20,False,,,
astar:lmcut,logistics,test-extrapolation,probLOGISTICS-12-1.pddl,timeout,,20,False,,,
